id	gpdm	zwdm	name
0	603348.SH	dsz	唐杰雄
0	688566.SH	dsz	耿仲毅
0	002575.SZ	dsz	范晓东
0	000983.SZ	dsz	樊大宏
0	300541.SZ	dsz	李铠
0	603212.SH	dsz	吴小平
0	002486.SZ	dsz	杨希
0	603722.SH	dsz	朱学军
0	002836.SZ	dsz	张宏清
0	688222.SH	dsz	李进
0	000720.SZ	dsz	吴永钢
0	300443.SZ	dsz	伊廷雷
0	688090.SH	dsz	孙志强
0	002402.SZ	dsz	刘建伟
0	688189.SH	dsz	杨文逊
0	002330.SZ	dsz	郑思敏
0	600538.SH	dsz	潘利斌
0	300043.SZ	dsz	陈雁升
0	300369.SZ	dsz	沈继业
0	688015.SH	dsz	郜春海
0	688012.SH	dsz	尹志尧
0	300571.SZ	dsz	郭庆
0	600678.SH	dsz	梁斐
0	300179.SZ	dsz	方海江
0	002888.SZ	dsz	HONGBO YAO
0	300176.SZ	dsz	卢楚隆
0	603893.SH	dsz	励民
0	300173.SZ	dsz	王贵银
0	600255.SH	dsz	宋志刚
0	300129.SZ	dsz	张福林
0	688123.SH	dsz	陈作涛
0	002987.SZ	dsz	费振勇
0	300115.SZ	dsz	陈奇星
0	002883.SZ	dsz	陈凤军
0	300437.SZ	dsz	王志清
0	002214.SZ	dsz	庞惠民
0	002531.SZ	dsz	严俊旭
0	300150.SZ	dsz	牛俊杰
0	300540.SZ	dsz	谢乐敏
0	002055.SZ	dsz	邱建民
0	603329.SH	dsz	孙望平
0	000552.SZ	dsz	杨先春
0	000416.SZ	dsz	余政
0	300513.SZ	dsz	钱苏晋
0	603386.SH	dsz	叶晓彬
0	002552.SZ	dsz	李宜三
0	002676.SZ	dsz	王宪章
0	000700.SZ	dsz	曹克波
0	002225.SZ	dsz	刘百宽
0	300092.SZ	dsz	林祯华
0	002860.SZ	dsz	楼月根
0	002369.SZ	dsz	陈新民
0	300484.SZ	dsz	邱文渊
0	688310.SH	dsz	林军华
0	603633.SH	dsz	朱新爱
0	300413.SZ	dsz	张华立
0	000635.SZ	dsz	张华
0	300792.SZ	dsz	林振宇
0	603679.SH	dsz	梁熹
0	002273.SZ	dsz	林敏
0	300328.SZ	dsz	李扬德
0	300642.SZ	dsz	姚见儿
0	300825.SZ	dsz	宣奇武
0	300157.SZ	dsz	包笠
0	603177.SH	dsz	金猛
0	300766.SZ	dsz	方毅
0	300336.SZ	dsz	杨震华
0	300583.SZ	dsz	米奇
0	300310.SZ	dsz	钟飞鹏
0	300384.SZ	dsz	刘迪
0	300609.SZ	dsz	张宏俊
0	002623.SZ	dsz	林金锡
0	002094.SZ	dsz	陈索斌
0	002363.SZ	dsz	张海燕
0	300592.SZ	dsz	周新华
0	002026.SZ	dsz	杨明燕
0	002514.SZ	dsz	陈东
0	300709.SZ	dsz	王明喜
0	300796.SZ	dsz	陈峰
0	300593.SZ	dsz	王彬
0	002635.SZ	dsz	王春生
0	000426.SZ	dsz	吉兴业
0	300327.SZ	dsz	傅启明
0	300339.SZ	dsz	周红卫
0	300518.SZ	dsz	陈湧锐
0	002937.SZ	dsz	张忠良
0	300308.SZ	dsz	王伟修
0	000521.SZ	dsz	吴定刚
0	300473.SZ	dsz	李毅
0	300234.SZ	dsz	邢翰学
0	300414.SZ	dsz	王雪颖
0	002519.SZ	dsz	张红
0	002301.SZ	dsz	陈钦鹏
0	300280.SZ	dsz	姚小欣
0	300638.SZ	dsz	张天瑜
0	000570.SZ	dsz	史新昆
0	300731.SZ	dsz	周东
0	300182.SZ	dsz	徐子泉
0	300245.SZ	dsz	苏玉军
0	002560.SZ	dsz	马红菊
0	000536.SZ	dsz	林俊
0	002666.SZ	dsz	徐咸大
0	300547.SZ	dsz	文琦超
0	002602.SZ	dsz	王苗通
0	300123.SZ	dsz	李跃先
0	002629.SZ	dsz	温志平
0	300629.SZ	dsz	王刚
0	300081.SZ	dsz	孟宪民
0	300239.SZ	dsz	王军
0	002683.SZ	dsz	郑炳旭
0	300585.SZ	dsz	陈光水
0	002355.SZ	dsz	魏翔
0	300262.SZ	dsz	张春霖
0	603439.SH	dsz	张海
0	300654.SZ	dsz	任志鸿
0	300827.SZ	dsz	吴强
0	300266.SZ	dsz	李建雄
0	300155.SZ	dsz	张波
0	000518.SZ	dsz	郭煜
0	300195.SZ	dsz	李莉
0	600187.SH	dsz	尹峻
0	000925.SZ	dsz	潘丽春
0	002800.SZ	dsz	王普宇
0	300288.SZ	dsz	王伟
0	002682.SZ	dsz	王跃荣
0	002859.SZ	dsz	方隽云
0	002940.SZ	dsz	方南平
0	300401.SZ	dsz	邵君芳
0	002698.SZ	dsz	邓喜军
0	000928.SZ	dsz	陆鹏程
0	603825.SH	dsz	苏同
0	000976.SZ	dsz	宣瑞国
0	000893.SZ	dsz	郭柏春
0	688166.SH	dsz	袁建栋
